"","X","Name","Type","Longitude","Latitude","Address"
"137",137,"VivoCity Station","Taxi Stand",103.823159290076,1.26510488246522,"VivoCity Station, Singapore"
"138",138,"271 Bukit Timah Road","Taxi Stand",103.835789753434,1.31629199000455,"271 Bukit Timah Road, Balmoral Rd, #03-07, Singapore 259708"
"139",139,"250 Race Course Rd","Taxi Stand",103.853220659277,1.31249149878043,"250 Race Course Rd, Singapore 218703"
"140",140,"41 Owen Rd","Taxi Stand",103.853590891914,1.31262975882677,"41 Owen Rd, Singapore 210041"
"141",141,"5 Sengkang Square","Taxi Stand",103.895268317956,1.39263254125453,"5 Sengkang Square, Singapore 545062"
"142",142,"1 Maritime Square","Taxi Stand",103.820604710677,1.26463033181696,"1 Maritime Square, Singapore 099253"
"143",143,"70 Punggol Central","Taxi Stand",103.902206164143,1.4055080360185,"70 Punggol Central, Singapore 828868"
"144",144,"539 Bedok North Street 3","Taxi Stand",103.925469405557,1.33112556922279,"539 Bedok North Street 3, Singapore 460539"
"145",145,"22 Bayshore Rd","Taxi Stand",103.938959190342,1.31217165966095,"22 Bayshore Rd, Singapore 469970"
"146",146,"Newton","Taxi Stop",103.837341398801,1.31375445388464,"Newton, Singapore"
"147",147,"170 Upper Bukit Timah Rd","Taxi Stand",103.775722619194,1.34319142376501,"170 Upper Bukit Timah Rd, Singapore 588179"
"148",148,"84 Upper Serangoon Rd","Taxi Stand",103.869339782539,1.33161461689822,"84 Upper Serangoon Rd, Singapore 347667"
"149",149,"Stevens","Taxi Stop",103.826285911436,1.31991920833895,"Stevens, Singapore"
"150",150,"140 Upper Bukit Timah Rd","Taxi Stand",103.775811460763,1.34218373476631,"140 Upper Bukit Timah Rd, Singapore 588176"
"151",151,"61 Choa Chu Kang Dr","Taxi Stand",103.747523271889,1.39715707558215,"61 Choa Chu Kang Dr, Singapore 689715"
"152",152,"8QQH+FH Singapore","Taxi Stand",103.778883288836,1.33864363120966,"8QQH+FH Singapore"
"153",153,"604 Sembawang Rd","Taxi Stand",103.824532096178,1.44177413252524,"604 Sembawang Rd, Singapore 758459"
"154",154,"55 Upper Serangoon Rd","Taxi Stand",103.868937186467,1.33254275130055,"55 Upper Serangoon Rd, Singapore 347694"
"155",155,"200 Commonwealth Ave W","Taxi Stand",103.779163280551,1.31140266029825,"200 Commonwealth Ave W, Singapore 138677"
