"","STN_NAME","STN_NO","LONGITUDE","LATITUDE"
"143","Stevens MRT Station","DT10/TE11",103.826024402244,1.32006555700673
"144","Bukit Panjang MRT Station","DT1",103.761535114733,1.37900211671767
"145","Cashew MRT Station","DT2",103.764694422311,1.36936983106434
"146","Sixth Avenue MRT Station","DT7",103.797246316661,1.33078638736398
"147","Toa Payoh MRT Station","NS19",103.84750176434,1.3326289871232
"148","Woodlands South MRT Station","TE3",103.793850892438,1.42725997871125
"149","Potong Pasir MRT Station","NE10",103.869055665272,1.33137952461929
"150","Hougang MRT Station","NE14",103.892380518912,1.37129229167854
"151","Boon Keng MRT Station","NE9",103.86168650187,1.31939570602305
"152","Upper Changi MRT Station","DT34",103.961471788678,1.3417374838932
"153","Changi Airport MRT Station","CG2",103.988364658505,1.35731454533098
"154","Braddell MRT Station","NS18",103.846797845412,1.3404716844511
"155","Buangkok MRT Station","NE15",103.893121564785,1.38287785814722
"156","Promenade MRT Station","CC4/DT15",103.860999155887,1.29321805148933
"157","Botanic Gardens MRT Station","CC19/DT9",103.814982750344,1.32211019298477
"158","Raffles Place MRT Station","EW14/NS26",103.851461712091,1.2841256105732
"159","Holland Village MRT Station","CC21",103.796191823862,1.31183479040213
"160","Outram Park MRT Station","EW16",103.839126497584,1.28140497813014
"161","Telok Blangah MRT Station","CC28",103.809748636836,1.27075321145858
"162","Telok Ayer MRT Station","DT18",103.848302806193,1.28228953619225
"163","Newton MRT Station","NS21/DT11",103.837985299633,1.31232009955564
"164","Canberra MRT Station","NS12",103.82971180026,1.4431366997194
"165","Woodlands North MRT Station","TE1",103.785692700009,1.44829249987066
"166","Hume MRT Station","DT4",103.769099241508,1.35451760752549
"167","Springleaf MRT Station","TE4",103.818081849863,1.39816086102595
"168","Lentor MRT Station","TE5",103.836469486914,1.38506194692629
"169","Mayflower MRT Station","TE6",103.836823932015,1.3720866386742
"170","Bright Hill MRT Station","TE7",103.832935957836,1.36330809809581
"171","Upper Thomson MRT Station","TE8",103.832938168861,1.35441185312773
