"","ADDRESSBLOCKHOUSENUMBER","LATITUDE","EST_ORIGINAL_COMPLETION_DATE","STATUS","APPROXIMATE_GFA","LONGITUDE","INFO_ON_CO_LOCATORS","AWARDED_DATE","LANDYADDRESSPOINT","PHOTOURL","DESCRIPTION","NAME","ADDRESSTYPE","ADDRESSBUILDINGNAME","HUP_COMPLETION_DATE","LANDXADDRESSPOINT","ADDRESSSTREETNAME","ADDRESSPOSTALCODE","IMPLEMENTATION_DATE","ADDRESS_MYENV","INC_CRC","FMEL_UPD_D"
"81","79/79A",1.32644992167231,"31/3/1971","Existing","",103.885043500019,"","","34297.67","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1280824598.jpg","HUP Standard Upgrading","Circuit Road Blk 79/79A","I","","11/5/2010","33756.46","Circuit Road","370079","","Blk 79/79A, Circuit Road, Singapore 370079/371079","B1F15E00618BA3B5","20210330151704"
"82","80",1.32784956142548,"1/9/1967","Existing","",103.887128535137,"","","34452.44","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153912521.jpg","HUP Reconfiguration","80 Circuit Road Market and Food Centre","I","","22/2/2003","33988.5","Circuit Road","370080","","Blk 80, Circuit Road, Singapore 370080","3BE7F742E98EBFE9","20210330151704"
"83","89",1.32344525333847,"1/9/1967","Existing","",103.885449224256,"","","33965.43","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154127554.jpg","HUP Standard Upgrading","Circuit Road Blk 89","I","","8/4/2009","33801.62","Circuit Road","370089","","Blk 89, Circuit Road, Singapore 370089","4EDE2CCE3A356895","20210330151704"
"84","353",1.31436772839327,"26/1/1978","Existing","",103.770836740843,"","","32961.71","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267847852167.jpg","HUP Standard Upgrading","Clementi Ave 2 Market/Cooked Food Centre","I","","25/10/2012","21046.37","Clementi Ave 2","120353","","Blk 353, Clementi Ave 2, Singapore 120353","42176A301ABBD91A","20210330151704"
"85","448",1.31326486994113,"12/1/1980","Existing","",103.764510533078,"","","32839.78","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848308255.jpg","HUP Standard Upgrading","Clementi Ave 3 Blk 448","I","","29/10/2010","20342.32","Clementi Ave 3","120448","","Blk 448, Clementi Ave 3, Singapore 120448","FDAC6B2723D97329","20210330151704"
"86","726",1.3037819726711,"29/11/1980","Existing","",103.764264410293,"","","31791.21","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155262246.jpg","HUP Standard Upgrading","Clementi West Street 2 Blk 726","I","","26/11/2009","20314.9","Clementi West Street 2","120726","","Blk 726, Clementi West Street 2, Singapore 120726","3B5F054B978C6724","20210330151704"
"87","31",1.3068922760844,"1965","Existing","3040.58",103.800362825517,"","","32135.05","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265167388780.jpg","HUP Rebuilding","Commonwealth Crescent Market","I","","18/8/2004","24332.33","Commonwealth Crescent","149644","","31, Commonwealth Crescent, Singapore 149644","35C408FD964DAE7E","20210330151704"
"88","1A/2A/3A",1.29971330531884,"16/11/1981","Existing","",103.797875477439,"","","31341.24","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/commonwealth.jpg","HUP Standard Upgrading","Tanglin Halt Food Centre/Commonwealth Drive Food Centre","I","","15/1/2010","24055.5","Commonwealth Drive","141001","","Blk 1A/ 2A/ 3A, Commonwealth Drive, Singapore 140001/140002/140003","B823DC77E8881910","20210330151704"
"89","271",1.30941418731185,"1974","Existing","984",103.90182514721,"","","32413.99","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155459807.jpg","HUP Standard Upgrading","Dunman Food Centre","I","","3/12/2002","35624.14","Onan Road","424768","","271, Onan Road, Singapore 424768","5924E48967AD2F1B","20210330151704"
"90","1220",1.30668431820832,"1978","Existing","3600.16",103.935016747249,"","","32112.260000000002","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155504536.jpg","HUP Rebuilding","East Coast Lagoon Food Village","I","","10/12/2003","39318.07","East Coast Parkway","468960","","1220, East Coast Parkway, Singapore 468960","1D6E51B459D243DC","20210330151704"
