"","BUS_STOP_N","BUS_ROOF_N","LOC_DESC","LONGITUDE","LATITUDE"
"350","58031","UNK","OPP CANBERRA DR",103.825138561515,1.446488779952
"351","14199","B02","BLK 118",103.812725857573,1.28129951654776
"352","22259","B04","BLK 668D",103.702624191032,1.34091296012747
"353","66581","NIL","BLK 986B",103.879735366229,1.38244753862793
"354","43549","B01","REGENT HTS",103.755498332578,1.35248487713956
"355","97069","B10","LLOYD LEAS WORK REL CAMP",103.975249846698,1.36510552064595
"356","77131","B01","BLK 502",103.946526855118,1.37564620042644
"357","78121","B07","BET BLKS 232 / 233",103.961935843913,1.37487388121327
"358","58201","B02","AFT QUEEN'S AVE",103.831013995374,1.45527476400954
"359","31059","B01","AFT CEMY OFFICE",103.694664861315,1.37201124851394
"360","31081","B11","OPP HQ 5TH SIB CAMP I",103.697354965709,1.3806192720719
"361","67341","B03","OPP BLK 204 CP",103.895112848661,1.38865961743144
"362","54031","B03","OPP AL-MUTTAQIN MQUE",103.845324665597,1.37015830383217
"363","28501","B01","BLK 490",103.727283523105,1.34980321306304
"364","81011","NIL","AFT ALJUNIED STN",103.883444561794,1.31533382525929
"365","31121","B40","NIRVANA MEMORIAL GDN",103.688098948628,1.37039595380292
"366","05629","B03","OPP STH PT",103.841934938653,1.27322946669306
"367","46741","B04","SEAGATE",103.807239251368,1.44630498086806
"368","52411","B05","BLK 105",103.853959867651,1.32814986067014
"369","66381","B01","OPP S'GOON STN EXIT F",103.871219394182,1.35029003102391
"370","51131","B18","OPP BRADDELL VIEW",103.839485518273,1.34418026221107
"371","24521","B03","BEF TUAS AVE 5",103.658827748049,1.31739653578574
"372","67481","B04","FERNVALE STN / BLK 439A",103.877753739851,1.39153739217697
"373","83239","B06","OPP CHEVIOT HILL",103.92247905895,1.31688474737891
"374","52029","B13","BLK 1004",103.847183999494,1.34365420147189
"375","80069","NIL","OPP MOHD SALLEH MQUE",103.87708949307,1.31213571770831
"376","11511","B16","ALEXANDRA HOSP",103.802450122996,1.28606333778447
"377","58229","B01A","BLK 358A CP",103.816827089865,1.44875840738821
"378","82099","B05","CDAC BLDG",103.894263155242,1.31287457979397
"379","05641","B02","BEF CANTONMENT RD",103.841319559779,1.27274059792302
"380","97169","B04","OPP EDWARDS LIFESCIENCE",103.967678273745,1.34672596049726
"381","55251","B03","COUNTRYSIDE EST",103.838805926725,1.39095710001132
"382","04251","B01","OPP HIGH ST CTR",103.848832677326,1.2897576686932
"383","53271","B03","OPP KUO CHUAN PRESBY SCH",103.85391562865,1.34938510188483
"384","66161","B03","OPP CROWHURST DR",103.864618568616,1.36128734773224
"385","70079","B06","AFT REGENT MOTORS",103.898448891759,1.33361856858532
"386","22451","B09","OPP BLK 643",103.695535755346,1.33834514739888
"387","57061","B09","DIEPPE BARRACKS",103.824533503043,1.42003228950991
"388","67211","B09","RANGGUNG STN EXIT A",103.897778314391,1.38382044506971
"389","92059","B04","BET BLKS 72/74",103.907652801095,1.30421701124639
"390","60201","B01","18 WOODSVILLE",103.868490559292,1.32963724850655
"391","45391","NIL","BLK 657",103.749728079869,1.40014039409317
